Genus,Species,Global Ranking
Balantiopteryx,plicata,G4
Peropteryx,kappleri,G4
Peropteryx,macrotis,G4
Rhynchonycteris,naso,G4
Saccopteryx,bilineata,G5
Anoura,geoffroyi,G4
Artibeus,jamaicensis,G5
Artibeus,lituratus,G5
Carollia,perspicillata,G5
Carollia,sowelli,G5
Dermanura,phaeotis,G5
Dermanura,tolteca,G5
Dermanura,watsoni,G5
Desmodus,rotundus,G5
Diphylla,ecaudata,G4
Glossophaga,commissarisi,G5
Glossophaga,mutica,G5
Leptonycteris,yerbabuenae,G4
Macrotus,californicus,G4
Macrotus,waterhousii,G4
Micronycteris,microtis,G4
Phyllostomus,discolor,G4
Sturnira,hondurensis,G5
Sturnira,parvidens,G5
Pteronotus,fulvus,G4
Pteronotus,mesoamericanus,G5
Pteronotus,mexicanus,G5
Pteronotus,psilotis,G5
Natalus,mexicanus,G4
Molossus,alvarezi,G5
Molossus,aztecus,G5
Molossus,nigricans,G5
Molossus,sinaloae,G5
Nyctinomops,laticaudatus,G5
Eptesicus,furinalis,G4
Myotis,californicus,G5
Myotis,pilosatibialis,G5
Myotis,nigricans,G5
Rhogeessa,aeneus,G4
Rhogeessa,parvula,G4
Rhogeessa,tumida,G4
Choeronycteris,mexicana,G2
Chrotopterus,auritus,G2
Leptonycteris,nivalis,G2
Lichonycteris,obscura,G2
Musonycteris,harrisoni,G1
Trachops,cirrhosus,G2
Vampyrum,spectrum,G2
Noctilio,albiventris,G2
Myotis,planiceps,G1
Myotis,vivesi,G2
Phyllops,falcatus,G1
Chiroderma,scopaeum,G3
