species,question,Q1,Median,Q3
EPTESICUS_FUSCUS,popSize,181574.10745597197,889274.1442198115,2721239.51244277
EPTESICUS_FUSCUS,popTrend,-0.22225851817724876,-0.11888288939684731,-0.015507260616445862
LASIURUS_BOREALIS,popSize,75129.48843416624,289042.9317217092,769782.4749312178
LASIURUS_BOREALIS,popTrend,-0.47847098787855125,-0.2907124021637624,-0.10295381644897353
MYOTIS_LUCIFUGUS,popSize,157788.50943852356,659066.9312951913,1841149.6204143993
MYOTIS_LUCIFUGUS,popTrend,-0.8146242486300189,-0.652298046626251,-0.4899718446224831
MYOTIS_SEPTENTRIONALIS,popSize,16440.384913362323,180586.84310092023,863348.5430061425
MYOTIS_SEPTENTRIONALIS,popTrend,-0.9093597979327217,-0.7967288056420494,-0.6840978133513771
EUDERMA_MACULATUM,popSize,3781.146784554809,14010.820037848896,36500.86690085525
EUDERMA_MACULATUM,popTrend,-0.10241195797496194,-0.050758455470318944,8.950470343240466e-4
PERIMYOTIS_SUBFLAVUS,popSize,1926.3222369917928,46600.5657986036,341910.5828032983
PERIMYOTIS_SUBFLAVUS,popTrend,-0.7726691491401142,-0.6146234753536517,-0.4565778015671892
LASIURUS_CINEREUS,popSize,140005.24904207027,573037.0285012329,1582121.0868254586
LASIURUS_CINEREUS,popTrend,-0.5297167324307105,-0.3405410729392135,-0.15136541344771648
MYOTIS_LEIBII,popSize,7523.226351951596,13379.684652892505,21754.7299945601
MYOTIS_LEIBII,popTrend,-0.5195428639924479,-0.35512556186061023,-0.19070825972877256
LASIONYCTERIS_NOCTIVAGANS,popSize,100704.83959348519,346332.1657138147,863294.7737702228
LASIONYCTERIS_NOCTIVAGANS,popTrend,-0.5878372627941938,-0.4990776033464127,-0.41031794389863163
MYOTIS_VOLANS,popSize,91888.995435621,222028.53124093165,444873.1764754985
MYOTIS_VOLANS,popTrend,0.11644160744238341,0.1483446969416878,0.1802477864409922
MYOTIS_YUMANENSIS,popSize,20199.28726070617,228511.94594570357,1110111.4507229207
MYOTIS_YUMANENSIS,popTrend,-0.040241508614527036,0.0027162849402887815,0.0456740784951046
MYOTIS_THYSANODES,popSize,2738.536938661919,10011.095945506115,25873.83637619418
MYOTIS_THYSANODES,popTrend,-0.1915483463051856,-0.11521506977419076,-0.038881793243195906
MYOTIS_EVOTIS,popSize,238982.98821367734,566394.952236297,1120736.8813235613
MYOTIS_EVOTIS,popTrend,0.09952637097982307,0.20057351294825762,0.30162065491669215
MYOTIS_CILIOLABRUM,popSize,3516.6610426053912,22452.83101354082,79721.9975214476
MYOTIS_CILIOLABRUM,popTrend,-0.4082362946119969,-0.30567464868233385,-0.2031130027526708
ANTROZOUS_PALLIDUS,popSize,576.7757924791687,743.3533333884042,939.4115858071257
ANTROZOUS_PALLIDUS,popTrend,-0.6685682467876308,-0.5964473433584603,-0.5243264399292897
CORYNORHINUS_TOWNSENDII,popSize,5147.605440978133,8217.586571874655,12334.207426624502
CORYNORHINUS_TOWNSENDII,popTrend,-0.19769218172034445,-0.09744551877844243,0.0028011441634595846
MYOTIS_CALIFORNICUS,popSize,1264813.3654157058,4298355.017099964,10638684.667030578
MYOTIS_CALIFORNICUS,popTrend,-0.24495991891746693,-0.14760549553579647,-0.05025107215412601
