species,range
Centronycteris centralis,"20,000-200,000"
Lasiurus cinereus,"200,000-2,500,000"
Tadarida brasiliensis,"200,000-2,500,000"
Myotis fortidens,"200,000-2,500,000"
Promops centralis,"200,000-2,500,000"
Lasiurus frantzii,"200,000-2,500,000"
Artibeus hirsutus,"200,000-2,500,000"
Artibeus jamaicensis,"200,000-2,500,000"
Chrotopterus auritus,"200,000-2,500,000"
Antrozous pallidus,"200,000-2,500,000"
Choeronycteris mexicana,"200,000-2,500,000"
Choeroniscus godmani,"200,000-2,500,000"
Lampronycteris brachyotis,"20,000-200,000"
Gardnerycteris keenani,"20,000-200,000"
Lonchorhina aurita,"200,000-2,500,000"
Centurio senex,"200,000-2,500,000"
Trachops cirrhosus,"200,000-2,500,000"
Balantiopteryx io,"20,000-200,000"
Bauerus dubiaquercus,"200,000-2,500,000"
Myotis occultus,"200,000-2,500,000"
Lophostoma brasiliense,"20,000-200,000"
Carollia subrufa,"200,000-2,500,000"
Dermanura azteca,"200,000-2,500,000"
Diaemus youngi,"20,000-200,000"
Cynomops mexicanus,"20,000-200,000"
Diclidurus albus,"200,000-2,500,000"
Mimon cozumelae,"200,000-2,500,000"
Enchisthenes hartii,"200,000-2,500,000"
Eptesicus brasiliensis,"20,000-200,000"
Thyroptera tricolor,"20,000-200,000"
Lasiurus intermedius,"200,000-2,500,000"
Glossophaga morenoi,"200,000-2,500,000"
Hylonycteris underwoodi,"200,000-2,500,000"
Glossophaga leachii,"200,000-2,500,000"
Eumops nanus,"20,000-200,000"
Glyphonycteris sylvestris,"200,000-2,500,000"
Lasiurus ega,"200,000-2,500,000"
Eumops underwoodi,"200,000-2,500,000"
Macrophyllum macrophyllum,"20,000-200,000"
Molossus coibensis,"20,000-200,000"
Myotis albescens,"20,000-200,000"
Myotis elegans,"200,000-2,500,000"
Myotis findleyi,100-250
Lophostoma evotis,"20,000-200,000"
Leptonycteris nivalis,"200,000-2,500,000"
Myotis velifer,"200,000-2,500,000"
Leptonycteris yerbaguensis,"200,000-2,500,000"
Euderma maculatum,"200,000-2,500,000"
Corynorhinus mexicanus,"200,000-2,500,000"
Myotis volans,"200,000-2,500,000"
Perimyotis subflavus,"200,000-2,500,000"
Saccopteryx leptura,"5,000-20,000"
Eumops hansae,"20,000-200,000"
Vampyrodes major,"20,000-200,000"
Vampyressa thyone,"20,000-200,000"
Noctilio albiventris,"5,000-20,000"
Uroderma magnirostrum,"20,000-200,000"
Noctilio leporinus,"200,000-2,500,000"
Leptonycteris yerbabuenae,"200,000-2,500,000"
Lasiurus borealis,"20,000-200,000"
Idionycteris phyllotis,"200,000-2,500,000"
Lasiurus xanthinus,"200,000-2,500,000"
Chiroderma villosum,"200,000-2,500,000"
Rhogeessa gracilis,"200,000-2,500,000"
Nyctinomops aurispinosus,"200,000-2,500,000"
Myotis peninsularis,"20,000-200,000"
Nyctinomops femorosaccus,"200,000-2,500,000"
Nycticeius humeralis,"20,000-200,000"
Myotis melanorhinus,"200,000-2,500,000"
Lasionycteris noctivagans,"20,000-200,000"
Myotis auriculus,"200,000-2,500,000"
Micronycteris schmidtorum,"20,000-200,000"
Uroderma davisi,"20,000-200,000"
Platyrrhinus helleri,"200,000-2,500,000"
Tonatia bakeri,"5,000-20,000"
Eumops perotis,"200,000-2,500,000"
Chiroderma salvini,"200,000-2,500,000"
Pteronotus gymnonotus,"20,000-200,000"
Phylloderma stenops,"20,000-200,000"
Rhogeessa alleni,"200,000-2,500,000"
Rhogeessa bickhami,"5,000-20,000"
Rhogeessa genowaysi,"5,000-20,000"
Rhogeessa mira,"5,000-20,000"
Trinycteris nicefori,"5,000-20,000"
Uroderma convexum,"20,000-200,000"
Eumops ferox,"200,000-2,500,000"
Myotis evotis,"20,000-200,000"
Myotis nigricans,"200,000-2,500,000"
Eumops auripendulus,"20,000-200,000"
Molossus molossus,"200,000-2,500,000"
